Claim,Source,Source URL,Jurisdiction,Date Checked,Last-Updated Date If Available,Confidence Level,Page Using The Claim,Next Review Date
"India: every pet dog/cat import needs an Advance No Objection Certificate (NOC) from the Animal Quarantine & Certification Station (AQCS), applied at least 7 working days before embarkation",USDA APHIS / Govt of India DAHD,https://www.aphis.usda.gov/sites/default/files/india-cats-guidance.pdf,India,2026-09-04,,high,TBD - assign during page build,2026-12-03
"India: three import pathways - Transfer of Residence (proof of 2 years overseas stay + relocation proof), Re-import (original AQCS export health certificate), or Short Stay (valid DGFT import licence)",USDA APHIS / DGFT,https://www.aphis.usda.gov/sites/default/files/india-cats-guidance.pdf,India,2026-09-04,,high,TBD - assign during page build,2026-12-03
"India: pet import is allowed only through the airports/seaports of Delhi, Mumbai, Chennai, Hyderabad, Bangalore and Kolkata, with quarantine at the government station where required",DGFT (Govt of India),https://content.dgft.gov.in/Website/FAQ_IMPORT_PET.pdf,India,2026-09-04,,high,TBD - assign during page build,2026-12-03
India: DGFT short-stay import licence is decided by the inter-ministerial Exim Facilitation Committee which meets about once a month - allow at least a month,DGFT (Govt of India),https://content.dgft.gov.in/Website/FAQ_IMPORT_PET.pdf,India,2026-09-04,,high,TBD - assign during page build,2026-12-03
India: ISO microchip (before rabies vaccination) and current rabies vaccination required; no rabies titer test required; pets arriving as baggage generally face 15-day quarantine (secondary detail),PetRelocation.com (secondary),https://www.petrelocation.com/country/india,India,2026-09-04,2026-06-30,secondary-source,TBD - assign during page build,2026-12-03
Philippines: an approved SPSIC (Sanitary and Phytosanitary Import Clearance) from the Bureau of Animal Industry is required BEFORE travel; obtained online; max 3 animals per one-time importation; SPSIC valid 60 days,Bureau of Animal Industry (BAI),https://www.bai.gov.ph/Stakeholders/PetImport,Philippines,2026-09-04,,high,TBD - assign during page build,2026-12-03
Philippines: only dogs and cats at least 120 days old at SPSIC application; pregnant pets not allowed; pets that gave birth within 12 weeks before travel not eligible,Bureau of Animal Industry (BAI),https://www.bai.gov.ph/Stakeholders/PetImport,Philippines,2026-09-04,,high,TBD - assign during page build,2026-12-03
Philippines: pet must be accompanied by an Export Permit/International Veterinary Health Certificate issued within 10 calendar days before export/departure,Bureau of Animal Industry (BAI),https://www.bai.gov.ph/Stakeholders/PetImport,Philippines,2026-09-04,,high,TBD - assign during page build,2026-12-03
"Philippines: ISO 11784/11785 microchip required; first rabies vaccination at least 14 days before SPSIC application; dogs need distemper/hepatitis/parvo/parainfluenza/leptospirosis combo, cats panleukopenia/rhinotracheitis/calicivirus combo",Bureau of Animal Industry (BAI) / Philippine Consulate General Milan,https://www.bai.gov.ph/Stakeholders/PetImport,Philippines,2026-09-04,,high,TBD - assign during page build,2026-12-03
"Philippines arrival fees: import permit issuance fee PhP 100 and quarantine inspection/landing fee PhP 250 payable to the Quarantine Office on arrival (per Philippine Consulate General, March 2022 - verify current fees)",Philippine Consulate General Milan (official),https://milanpcg.dfa.gov.ph/announcements/363-bringing-pets-to-the-philippines.html,Philippines,2026-09-04,,medium,TBD - assign during page build,2026-12-03
"Philippines: pets arriving without a valid SPSIC and veterinary health certificate are seized, confiscated or refused admission",Bureau of Animal Industry (BAI),https://www.bai.gov.ph/Stakeholders/PetImport,Philippines,2026-09-04,,high,TBD - assign during page build,2026-12-03
"South Africa: a veterinary import permit from DALRRD (Directorate: Animal Health) is required for dogs and cats; ISO 11784/11785 microchip mandatory, tattoos not accepted",DALRRD infosheet (mirrored) (secondary host),http://aqis.co.kr/pdf/Republic of South Africa(RSA) AQIS.pdf,South Africa,2026-09-04,,secondary-source,TBD - assign during page build,2026-12-03
South Africa: dogs from countries not on the exemption list (UAE is NOT exempt) face a minimum 14-day quarantine on arrival; cats are not routinely quarantined,DALRRD infosheet / PetTravel.com (secondary),https://www.pettravel.com/information/pet-passports/south-africa-pet-import-requirements/,South Africa,2026-09-04,2026-03-04,secondary-source,TBD - assign during page build,2026-12-03
South Africa: dogs and cats may only enter via Johannesburg (OR Tambo) or Cape Town International airports,DALRRD infosheet (mirrored) (secondary host),http://aqis.co.kr/pdf/Republic of South Africa(RSA) AQIS.pdf,South Africa,2026-09-04,,secondary-source,TBD - assign during page build,2026-12-03
South Africa: rabies vaccination required between 30 days and 12 months before import; no rabies titer test required; manifest cargo only for dogs (secondary),ExpatFocus / DALRRD (secondary),https://www.expatfocus.com/south-africa/guide/south-africa-importing-a-pet,South Africa,2026-09-04,2026-05-26,secondary-source,TBD - assign during page build,2026-12-03
Saudi Arabia: pet import requires a MEWA import permit obtained via the Anaam (Naama) electronic platform; permit valid 30 days from issuance; consignments must enter through the port named in the permit,MEWA (mewa.gov.sa),https://www.mewa.gov.sa/en/InformationCenter/DocsCenter/RulesLibrary/Docs/Pet import mechanism.pdf,Saudi Arabia,2026-09-04,,high,TBD - assign during page build,2026-12-03
Saudi Arabia: remaining validity of the rabies vaccination must be at least 6 months at the time of import,MEWA (mewa.gov.sa),https://www.mewa.gov.sa/en/InformationCenter/DocsCenter/RulesLibrary/Docs/Pet import mechanism.pdf,Saudi Arabia,2026-09-04,,high,TBD - assign during page build,2026-12-03
Saudi Arabia: imports are governed by the GCC States Veterinary Quarantine Law and Animal Welfare Act; MEWA may reject applications from countries per WOAH (OIE) health situation,MEWA (mewa.gov.sa),https://www.mewa.gov.sa/en/InformationCenter/DocsCenter/RulesLibrary/Docs/Pet import mechanism.pdf,Saudi Arabia / GCC,2026-09-04,,high,TBD - assign during page build,2026-12-03
"Saudi Arabia: the importer must hold a Saudi National ID, GCC national ID or Saudi Iqama (residency); GCC residents who are not nationals cannot apply directly (secondary)",ExpatLogistics (secondary),https://expatlogistics.com/pets-from-gcc,Saudi Arabia,2026-09-04,,secondary-source,TBD - assign during page build,2026-12-03
"Saudi Arabia restricts many dog breeds (import limited to hunting/guard/service justification for some); banned breeds include Rottweiler, Pit Bull, Boxer, Mastiff types, Great Dane and terrier breeds among others (secondary list)",PetTravel.com (secondary),https://www.pettravel.com/information/pet-passports/saudi-arabia-pet-import-requirements/,Saudi Arabia,2026-09-04,2026-07-25,secondary-source,TBD - assign during page build,2026-12-03
Saudi Arabia: exit and return permits for pets accompanying travellers are obtained from the Anaam platform; return period must not exceed 60 days,MEWA (mewa.gov.sa),https://www.mewa.gov.sa/en/InformationCenter/DocsCenter/RulesLibrary/Docs/Pet import mechanism.pdf,Saudi Arabia,2026-09-04,,high,TBD - assign during page build,2026-12-03
"GCC moves generally require: destination ministry import permit (MOCCAE/MEWA/MoECC), ISO microchip, rabies vaccination >=30 days old, RNATT for some countries, government-endorsed health certificate within ~10 days, and arrival as manifest cargo (secondary synthesis)",GCC Pet License Assistant (secondary),https://gcc-pet-license.netlify.app/,GCC,2026-09-04,,secondary-source,TBD - assign during page build,2026-12-03
Qatar: pets require an import permit from the Ministry of Environment and Climate Change (MoECC) and Qatar Airways accepts pets as checked baggage/cargo with health certificate within 10 days (secondary synthesis; Qatar first-party airline page confirms AVIH),Qatar Airways / MoECC (partly secondary),https://www.qatarairways.com/tradeportal/en/specialservices/Carriage-of-live-animals.html,Qatar,2026-09-04,,medium,TBD - assign during page build,2026-10-04
Snub-nosed (brachycephalic) dogs and cats face airline restrictions industry-wide: IATA advises against hot-season transport and requires 10% larger containers; several carriers (e.g. flydubai) ban listed snub-nosed breeds entirely,IATA / PetTravel.com (secondary for carrier lists),https://www.iata.org/en/programs/cargo/live-animals/pets/,International (air transport),2026-09-04,,medium,TBD - assign during page build,2026-10-04
Summer heat embargoes are route- and carrier-specific: e.g. Emirates bans bird transit via Dubai 1 May-30 Sep; typical industry threshold refuses pets when ground temperatures exceed ~29-30C at any itinerary airport (secondary for temperature thresholds),Emirates / PetTravel.com (secondary),https://www.emirates.com/english/help/faq-topics/baggage-and-lost-property/faq/what-are-the-rules-and-charges-for-travelling-with-animals/,International (air transport),2026-09-04,,medium,TBD - assign during page build,2026-10-04
