Claim,URL,Evidence,Evidence URL/internal reference,Verified?,Date checked,Keep/change/remove
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/how-it-works/,Crate fitting: We deliver the IATA-certified crate to your home 2–3 days before travel.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/how-it-works/,Permit confirmation: We verify your MOCCAE permit is approved and valid for your travel date.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/how-it-works/,"Health check: If required, our partner vet performs a brief arrival health check.",needs manual verification,needs manual verification,2026-09-04,REVIEW
24/7 availability claim,https://dubai-pet-relocation.ae/how-it-works/,24/7 availability WhatsApp us anytime.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/how-it-works/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/dog-relocation-to-dubai/,“Will my dog be scared in the crate?” Most dogs adjust well to an IATA-certified crate if they meet it before travel day.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/dog-relocation-to-dubai/,Our partner vets check your dog's health and temperament before travel.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/dog-relocation-to-dubai/,2 Veterinary preparation and documents Our partner vet implants (or verifies) an ISO 11784/11785 microchip and administers a rabies vaccination.,needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/dog-relocation-to-dubai/,4 International Health Certificate Issued by an accredited government veterinarian within 10 days of arrival.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/dog-relocation-to-dubai/,We provide IATA-certified crates sized to your dog.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/dog-relocation-to-dubai/,Vetted relocation partners · MOCCAE import guidance · IATA-compliant · WhatsApp support Dubai Pet Relocation A transparent pet relocation coordination service for Dubai and the UAE.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dog-relocation-to-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Other factual trust claim,https://dubai-pet-relocation.ae/cat-relocation-to-dubai/,"We book morning flights to avoid heat and turbulence, and we only work with airlines that have proven cat-safe cargo protocols.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/cat-relocation-to-dubai/,"If your cat has a special diet or medical needs, we coordinate with our vet partners to make sure those needs are met — and we tell the airline in writing.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/cat-relocation-to-dubai/,“What if my cat tries to escape from the crate?” IATA-approved cat crates are built for this.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/cat-relocation-to-dubai/,"We provide an IATA-approved travel crate sized to your cat, or we verify that yours meets standards.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/cat-relocation-to-dubai/,IATA Standards for Cat Crates All cats entering Dubai must travel in an IATA-compliant crate.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/cat-relocation-to-dubai/,IATA compliant.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/cat-relocation-to-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/services/,"Route & eligibility check Document checklist & review MOCCAE permit guidance WhatsApp support (business hours) Partner recommendations See all features Get PawPilot Quote Most Popular PawPartner Premium AED 3,000 – 5,000 Our most popular option.",needs manual verification,needs manual verification,2026-09-04,REVIEW
24/7 availability claim,https://dubai-pet-relocation.ae/services/,Everything in PawPartner Emergency contingency plan Dedicated relocation manager 24/7 WhatsApp availability Boarding & nanny arrangements See all features Get PawVIP Quote Full Comparison See exactly what is included in each tier so you can choose with confidence.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/services/,"Pre-Travel Health Package Comprehensive vet exam, health certificate, parasite treatment, and sedation alternatives arranged with our partner clinics.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/services/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Pets relocated count,https://dubai-pet-relocation.ae/about/,"Trusted relocation guidance Pets relocated safely 50+ Countries served 15 min Average response time 100% Document check rate Why We Know What We Are Talking About Experience, Expertise, Authority, and Trust Deep MOCCAE Knowledge We stay current with every MOCCAE regulation update, banned breed list change, and import permit requirement.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Other factual trust claim,https://dubai-pet-relocation.ae/about/,"Vet Network We work with a vetted network of veterinary clinics in Dubai and abroad who understand international health certificates, rabies titer testing, and pre-travel health checks.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/about/,"Partner Relations Vet & Airline Liaisons They maintain relationships with our trusted veterinary and transport partners, ensuring availability, quality, and clear communication on your travel day.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/about/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/contact/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/faq/,What makes a crate IATA-compliant?,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/faq/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/uk-to-dubai/,Dubai Pet Relocation books IATA-compliant crates and cargo space.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/uk-to-dubai/,We also measure your pet for an IATA-compliant travel crate and order the appropriate size.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/uk-to-dubai/,British Airways (BA) BA World Cargo — Live Animal Programme Daily direct flights LHR → DXB (6h 45m) Climate-controlled cargo hold (AC at 16–18°C) IATA-compliant crate required Booking via cargo agent only (Dubai Pet Relocation handles this) British Airways has a well-established live animal programme with dedicated animal care staff at Heathrow.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/uk-to-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
24/7 availability claim,https://dubai-pet-relocation.ae/routes/usa-to-dubai/,Pro tip: Emirates operates a dedicated SkyCargo Live service at JFK with 24/7 animal care staff.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/usa-to-dubai/,Your IATA-compliant crate is delivered for acclimatisation.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/routes/usa-to-dubai/,"American Airlines (AA) Cargo — via partners Cargo from JFK, DFW, MIA, LAX Often connects via partner airlines Competitive rates on select routes Limited brachycephalic capacity American Airlines is a good alternative for budget-conscious shippers from Dallas or Miami, though routing may involve connections.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/usa-to-dubai/,"A MOCCAE vet verifies the microchip, checks the health certificate and import permit, and conducts a brief physical exam.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/usa-to-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Other factual trust claim,https://dubai-pet-relocation.ae/routes/india-to-dubai/,"Air cargo rates from Tier-2 cities (e.g., Pune, Ahmedabad, Kochi) may be higher due to limited cargo capacity.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/india-to-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/australia-to-dubai/,The IATA-compliant crate is delivered for acclimatisation.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/australia-to-dubai/,"Dubai Pet Relocation ensures your pet travels in an IATA-compliant crate with adequate ventilation, absorbent bedding, and a familiar item (e.g., a small blanket with your scent).",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/australia-to-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/philippines-to-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/routes/canada-to-dubai/,"CFIA-Endorsed Health Certificate Canadian veterinary health certificate completed by a licensed Canadian vet, then endorsed by a CFIA district office.",needs manual verification,needs manual verification,2026-09-04,REVIEW
24/7 availability claim,https://dubai-pet-relocation.ae/routes/canada-to-dubai/,Pro tip: Air Canada operates a dedicated cargo facility at Toronto Pearson (YYZ) with 24/7 animal care staff.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/canada-to-dubai/,Your IATA-compliant crate is delivered for acclimatisation.,needs manual verification,needs manual verification,2026-09-04,REVIEW
24/7 availability claim,https://dubai-pet-relocation.ae/routes/canada-to-dubai/,Their SkyCargo Live service includes 24/7 animal monitoring and priority offloading at DXB.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/canada-to-dubai/,"Required documents: (1) ISO-compliant microchip implanted before rabies vaccination; (2) valid rabies vaccination certificate (21+ days old, from a licensed Canadian veterinarian); (3) UAE import permit via MOCCAE; (4) Canadian veterinary health certificate endorsed by CFIA within 5 days of the vet examination and within 10 days of travel; (5) copy of pet owner's passport and UAE visa.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/canada-to-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/new-zealand-to-dubai/,The IATA-compliant crate is delivered for acclimatisation.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/new-zealand-to-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/south-africa-to-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/dubai-to-uk/,Dubai Pet Relocation books IATA-compliant crates and cargo space.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/dubai-to-uk/,This gives time for MOCCAE endorsement (1–2 business days) and ensures the certificate is still within its 10-day validity window on arrival day.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/dubai-to-uk/,Dubai Pet Relocation delivers the IATA-compliant travel crate so your pet can acclimatise.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Percentage/success-rate claim,https://dubai-pet-relocation.ae/routes/dubai-to-uk/,Our post-Brexit track record is 100% successful entry with zero quarantine cases.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/dubai-to-uk/,"Flight Booking We book cargo space with Emirates, BA, or Virgin Atlantic, source the correct IATA-compliant crate, and coordinate with the airline's animal handling team for priority boarding and offloading.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/dubai-to-uk/,"Dubai Pet Relocation books cargo space, arranges IATA-compliant crates, and coordinates with airline animal handling teams.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/dubai-to-uk/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,"The certificate must: Be issued within 10 days of travel Include microchip number, vaccination details, and health examination results Be completed by a USDA-accredited veterinarian (not all UAE vets hold this accreditation) Be presented at US CBP inspection on arrival Cat Import Requirements The CDC does not require rabies vaccination for cats entering the USA.",needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,Dubai Pet Relocation works exclusively with accredited veterinarians in Dubai to ensure your certificate is valid.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,"Coverage of secondary US cities (Seattle, Denver, Atlanta, Dallas) Established pet cargo programmes with IATA-compliant protocols Climate-controlled transfers at hub airports May be more cost-effective for certain routes Longer total travel time due to connections Multi-leg routes add complexity but may be necessary for smaller US airports.",needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,Week 2 Health Certificate & CDC Form We schedule the USDA APHIS health certificate examination with an accredited UAE veterinarian.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,"We also book cargo space with Emirates, United, Delta, or American Airlines and source the correct IATA-compliant crate.",needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,"Health Certificate We schedule the USDA APHIS health certificate with an accredited UAE veterinarian, review the certificate for accuracy, and ensure it meets US entry requirements.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,"Flight Booking We book cargo space with Emirates, United, Delta, or American Airlines, source the correct IATA-compliant crate, and coordinate with the airline's animal handling team.",needs manual verification,needs manual verification,2026-09-04,REVIEW
24/7 availability claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,"24/7 Support We provide WhatsApp updates at every step, a 24/7 emergency contact during travel days, and post-arrival guidance on US veterinary registration and care.",needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,A USDA APHIS health certificate is a document issued by an accredited veterinarian in the origin country (the UAE) certifying that the pet is healthy and free from contagious diseases.,needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,"For pets travelling from Dubai to the USA, a UAE-licensed veterinarian can issue the health certificate if they are accredited by the USDA.",needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,Dubai Pet Relocation works with USDA-accredited veterinarians in Dubai to ensure the health certificate meets US entry requirements.,needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,"Week 2: schedule the USDA APHIS health certificate examination with an accredited UAE veterinarian, complete the CDC Dog Import Form online, and book cargo space.",needs manual verification,needs manual verification,2026-09-04,REVIEW
24/7 availability claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,We provide WhatsApp updates at every step and a 24/7 emergency contact during travel days.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/routes/dubai-to-usa/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Other factual trust claim,https://dubai-pet-relocation.ae/guides/banned-dog-breeds-dubai/,Dubai Municipality Rules for Restricted Breeds • All dogs must be registered with Dubai Municipality and microchipped with an ISO 11784/11785 compliant chip.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/guides/banned-dog-breeds-dubai/,"Vet Confirmation If needed, we arrange a breed confirmation letter from a partner veterinarian that describes your dog's physical traits and non-banned characteristics.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/guides/banned-dog-breeds-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/guides/iata-pet-crate-requirements/,"Airlines flying to Dubai — including Emirates, Etihad, and flydubai — require all pets in cargo to travel in IATA LAR-compliant crates.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/guides/iata-pet-crate-requirements/,"Why IATA Compliance Matters Airlines will refuse non-compliant crates at check-in Ground handlers will not accept pets in unsafe containers Non-compliant crates risk injury, escape, or death during transit UAE customs and Dubai Municipality may reject pets in improper crates IATA Crate Construction Checklist ✓ Hard plastic shell Single-piece rigid construction.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Percentage/success-rate claim,https://dubai-pet-relocation.ae/guides/iata-pet-crate-requirements/,"We sell airline-approved crates with a 100% compliance guarantee, and we rent IATA-compliant crates with free return shipping from Dubai after arrival.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/guides/iata-pet-crate-requirements/,"Step 3: Vet Verification Our partner veterinarian verifies the measurements and confirms the crate size is appropriate for your pet's breed, weight, and health status.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/guides/iata-pet-crate-requirements/,"We source, deliver, and verify IATA-compliant crates for every airline flying to Dubai.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/guides/iata-pet-crate-requirements/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/guides/pet-travel-summer-dubai/,Partner Vet Health Check Every summer traveler gets a pre-flight veterinary fitness examination within 48 hours of departure.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/guides/pet-travel-summer-dubai/,"Dubai Pet Relocation's summer protocol includes early morning booking, partner vet checks, and free rescheduling if embargo blocks your flight.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/guides/pet-travel-summer-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/guides/moccae-import-permit/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/guides/rabies-titer-test-dubai/,Dubai Pet Relocation connects you with partner vets who have experience with international titer testing and proper sample handling.,needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/guides/rabies-titer-test-dubai/,Using a non-accredited lab will result in rejection by the UAE.,needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/guides/rabies-titer-test-dubai/,We have partnered with accredited labs and experienced veterinarians in multiple countries.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/guides/rabies-titer-test-dubai/,1 Vet Appointment We book a partner vet for vaccination and blood draw.,needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/guides/rabies-titer-test-dubai/,Which labs are accredited for titer tests for Dubai?,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/guides/rabies-titer-test-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/cities/dubai/,"Dubai Pet Relocation partners with all major clinics for health checks, vaccinations, and documentation.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Other factual trust claim,https://dubai-pet-relocation.ae/cities/dubai/,All pets must be registered within 30 days of arrival.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/cities/dubai/,"MOCCAE import permit application Origin-country vet coordination IATA-compliant crate sourcing DXB customs clearance & delivery Aleef registration assistance Read Import Guide From Dubai Exporting a pet from Dubai to the UK, USA, Europe, Australia, Canada, or anywhere in the world.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/cities/dubai/,"Inter-emirate health certificates Climate-controlled ground transport Municipality registration transfer Boarding & acclimatisation support Same-day or next-day delivery Abu Dhabi Guide Network Local Partners in Dubai Dubai Pet Relocation works with a trusted network of veterinary clinics, cargo agents, and pet service providers across Dubai to ensure seamless relocation.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/cities/dubai/,dnata Cargo Services Ground handling partner for multiple airlines at DXB.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Other factual trust claim,https://dubai-pet-relocation.ae/cities/dubai/,Mandatory registration: All pets must be registered on the Dubai Municipality Aleef app within 30 days of arrival.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/cities/dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/cities/abu-dhabi/,"IATA-compliant hard crate required Climate-controlled cargo hold (16–18°C) Available for all breeds (subject to restrictions) Dubai Pet Relocation books cargo space and handles AUH clearance Priority offloading for live animals Best for: Medium and large dogs, multiple pets, brachycephalic breeds (cargo restrictions still apply in summer), and owners relocating multiple animals.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/cities/abu-dhabi/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/privacy-policy/,"To share necessary information with our trusted partners (veterinarians, airlines, transport providers) to facilitate your relocation.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/privacy-policy/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/terms-of-service/,"We help pet owners understand the requirements for relocating pets to and from Dubai, check and prepare documents, and connect clients with trusted third-party partners including veterinarians, airlines, cargo agents, and ground transport providers.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/terms-of-service/,"Dubai Pet Relocation is not liable for: Actions, omissions, or negligence of third-party partners (airlines, veterinarians, transport providers, government agencies).",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/terms-of-service/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
